lon;lat
-77.410000;38.880000
-77.410000;38.896222
-77.410000;38.912440
-77.410000;38.928655
-77.410000;38.944866
-77.389159;38.880000
-77.389159;38.896222
-77.389159;38.912440
-77.389159;38.928655
-77.389159;38.944866
-77.368318;38.880000
-77.368318;38.896222
-77.368318;38.912440
-77.368318;38.928655
-77.368318;38.944866
-77.347477;38.880000
-77.347477;38.896222
-77.347477;38.912440
-77.347477;38.928655
-77.347477;38.944866
-77.326636;38.880000
-77.326636;38.896222
-77.326636;38.912440
-77.326636;38.928655
-77.326636;38.944866
-77.305795;38.880000
-77.305795;38.896222
-77.305795;38.912440
-77.305795;38.928655
-77.305795;38.944866
-77.284955;38.880000
-77.284955;38.896222
-77.284955;38.912440
-77.284955;38.928655
-77.284955;38.944866
-77.264114;38.880000
-77.264114;38.896222
-77.264114;38.912440
-77.264114;38.928655
-77.264114;38.944866
-77.243273;38.880000
-77.243273;38.896222
-77.243273;38.912440
-77.243273;38.928655
-77.243273;38.944866
-77.222432;38.880000
-77.222432;38.896222
-77.222432;38.912440
-77.222432;38.928655
-77.222432;38.944866
-77.201591;38.880000
-77.201591;38.896222
-77.201591;38.912440
-77.201591;38.928655
-77.201591;38.944866
